교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통);,지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통);,공사형태 (공통);,지도표출구분,X좌표,Y좌표,경도,위도,geometry
3418,,답십리한양아파트(연등)2,1,3419.0,230.0,10대,200.0,200.0,1,2,,,,1.0,109.0,82-0000001361,,5301962.0,1361,10500.0,,N,205168.387084613,552595.239590916,127.05850600659187,37.572886503247986,POINT (127.05850600659187 37.572886503247986)
3419,,답십리한양아파트(연등)1,3,0.0,230.0,80-1대,200.0,200.0,1,2,,,,1.0,109.0,82-0000000109,,5311361.0,109,10500.0,,N,205353.97901177,552590.95096268,127.06060686998049,37.57284680307174,POINT (127.06060686998049 37.57284680307174)
3420,,힐스포츠센터,2,0.0,230.0,산2-11도,150.0,200.0,1,2,,,,1.0,109.0,82-0000004507,,,4507,10500.0,,N,205610.504410909,552585.887008941,127.06351068889384,37.572799650622215,POINT (127.06351068889384 37.572799650622215)
3421,,참튼튼병원(연등),1,3422.0,230.0,123-11 대,200.0,200.0,1,2,,,,1.0,109.0,82-0000000110,,5321762.0,110,10600.0,,N,206053.862839909,552563.042006368,127.06852929706874,37.572591011737245,POINT (127.06852929706874 37.572591011737245)
3422,,참튼튼병원,1,0.0,230.0,291-1대,200.0,200.0,1,2,,,,1.0,109.0,82-0000002264,,5321962.0,2264,10600.0,,N,206154.619252083,552550.284826581,127.06966974465331,37.57247540267465,POINT (127.06966974465331 37.57247540267465)
3423,,장안아파트입구,2,0.0,230.0,470-1도,150.0,200.0,1,2,,,,1.0,109.0,82-0000002997,,,2997,10600.0,,N,206577.395245136,552514.971963177,127.07445521111002,37.57215431444665,POINT (127.07445521111002 37.57215431444665)
3424,,장평중,3,0.0,230.0,471-1도,150.0,200.0,1,2,,,,2.0,109.0,82-0000003017,,,3017,10600.0,,N,206227.358919088,551714.968811688,127.07048605817094,37.56494875890646,POINT (127.07048605817094 37.56494875890646)
3427,,동대문소방서,1,0.0,230.0,377-9대,200.0,200.0,1,2,,,,2.0,109.0,82-0000000982,,5229363.0,982,10600.0,,N,205840.607036254,551588.537820786,127.06610749778277,37.5638121534957,POINT (127.06610749778277 37.5638121534957)
3430,,장안1새마을금고,1,3433.0,230.0,469-9도,200.0,200.0,1,2,,,,1.0,109.0,82-0000003018,,5320753.0,3018,10600.0,,N,206072.039712094,552018.333862922,127.0687305478635,37.56768310035193,POINT (127.0687305478635 37.56768310035193)
3433,,장안현대벤처빌,1,0.0,230.0,371-7대,200.0,200.0,1,2,,,,2.0,109.0,82-0000001288,,5320973.0,1288,10600.0,,N,206131.200781855,552132.034922624,127.06940115305896,37.56870714949945,POINT (127.06940115305896 37.56870714949945)
3435,,장안뉴시티,1,3433.0,230.0,469-8도,200.0,200.0,1,2,,,,1.0,109.0,82-0000004897,,5330092.0,4897,10600.0,,N,206188.80212001,552242.132852341,127.07005409086342,37.56969874110579,POINT (127.07005409086342 37.56969874110579)
3436,,장안삼성쉐르빌,1,3433.0,230.0,469-13도,200.0,200.0,1,2,,,,1.0,109.0,82-0000002266,,5331123.0,2266,10600.0,,N,206260.602264881,552380.034122752,127.07086800863802,37.57094073914325,POINT (127.07086800863802 37.57094073914325)
3437,,햇살요양병원,1,3438.0,230.0,312-7대,200.0,200.0,1,2,,,,1.0,109.0,82-0000002998,,5331393.0,2998,10600.0,,N,206351.061,552738.161199869,127.07189507353546,37.574166824637125,POINT (127.07189507353546 37.574166824637125)
3438,,장안지구대앞,3,0.0,230.0,469-4도,150.0,200.0,1,2,,,,2.0,109.0,82-0000003434,,,3434,10600.0,,N,206359.333084816,552861.751012295,127.07198978678623,37.575280304345014,POINT (127.07198978678623 37.575280304345014)
3439,,장안동근린공원,1,0.0,230.0,92-17대,200.0,200.0,1,2,,,,2.0,109.0,82-0000000316,,5332362.0,316,10600.0,,N,206371.823126368,553099.164127269,127.07213324151947,37.57741929532052,POINT (127.07213324151947 37.57741929532052)
3440,,장안동근린공원(연등),1,3439.0,230.0,469-1 도,200.0,200.0,1,2,,,,2.0,109.0,82-0000000748,,5332346.0,748,10600.0,,N,206365.115530589,552967.4755378,127.0720561638306,37.57623283585348,POINT (127.0720561638306 37.57623283585348)
3441,,장안2동주민센터,1,332.0,230.0,94-23 도,200.0,200.0,1,2,,,,1.0,109.0,82-0000002104,,5332095.0,2104,10600.0,,N,206204.080740916,553248.722141826,127.07023555408239,37.57876794838769,POINT (127.07023555408239 37.57876794838769)
3446,,전농대원빌딩,1,0.0,230.0,30-1도,150.0,200.0,1,2,,,,1.0,109.0,82-0000003684,,,3684,10400.0,,N,205403.760196811,553156.589569102,127.06117456001624,37.577942882773726,POINT (127.06117456001624 37.577942882773726)
3447,,동대문구노인정보화센터,1,565.0,230.0,295-26 도,200.0,200.0,1,2,,,,1.0,109.0,82-0000004508,,5302432.0,4508,10400.0,,N,204887.532288166,552934.95363406,127.05532900353033,37.57594884028429,POINT (127.05532900353033 37.57594884028429)
3448,,동대문구노인정보화센터(연등),1,3447.0,230.0,325-21도,200.0,200.0,1,2,,,,1.0,109.0,82-0000001863,,5302542.0,1863,10400.0,,N,204956.154854824,552991.746986251,127.05610622459093,37.576460178348846,POINT (127.05610622459093 37.576460178348846)
3450,,청솔우성아파트(연등)2,1,3449.0,230.0,80-7도,200.0,200.0,1,2,,,,2.0,109.0,82-0000001726,,5302912.0,1726,10500.0,,N,205176.301972645,552825.419982244,127.05859722784133,37.5749603711228,POINT (127.05859722784133 37.5749603711228)
3451,,청솔우성301동,2,3451.0,230.0,991대,200.0,200.0,1,2,,,,2.0,109.0,82-0000001665,,5312532.0,1665,10500.0,,N,205434.570655635,552921.847764275,127.06152161689567,37.57582769229389,POINT (127.06152161689567 37.57582769229389)
3452,,우아세어린이집,1,90.0,230.0,70-8대,200.0,200.0,1,2,,,,1.0,109.0,82-0000000111,,5301721.0,111,10500.0,,N,205060.65924627,552379.854718297,127.05728504444407,37.570946495076484,POINT (127.05728504444407 37.570946495076484)
3453,,답십리두산아파트,1,0.0,230.0,36-2도,150.0,200.0,1,2,,,,1.0,109.0,82-0000001074,,,1074,10500.0,,N,205050.732444986,552247.367639955,127.05717176383186,37.56975284770854,POINT (127.05717176383186 37.56975284770854)
3454,,답십리성당,3,0.0,230.0,534도,150.0,200.0,1,2,,,,1.0,109.0,82-0000003875,,,3875,10500.0,,N,205005.074644917,551943.455659352,127.05665286667592,37.56701486442867,POINT (127.05665286667592 37.56701486442867)
3455,,군자초교입구,3,0.0,230.0,4-118대,200.0,200.0,1,2,,,,1.0,109.0,82-0000004707,,5310402.0,4707,10500.0,,N,205400.397161095,551782.20886952,127.06112636653629,37.565559806106435,POINT (127.06112636653629 37.565559806106435)
3456,,단골슈퍼앞,3,0.0,230.0,165-33종,200.0,200.0,1,2,,,,2.0,109.0,82-0000004441,,5320033.0,4441,10600.0,,N,205710.403191296,551944.220366124,127.06463654222011,37.56701765337296,POINT (127.06463654222011 37.56701765337296)
3457,,장안시장입구,1,3455.0,230.0,12-4제,150.0,200.0,1,2,,,,1.0,109.0,82-0000001075,,,1075,10500.0,,N,205497.719108479,551934.390602974,127.06222908054156,37.566930381137965,POINT (127.06222908054156 37.566930381137965)
3465,,한유약국,1,0.0,230.0,2-24학,200.0,200.0,1,2,,,,1.0,109.0,82-0000001081,,5310982.0,1081,10600.0,,N,205657.4529278,552197.828601068,127.06403915022017,37.56930297784968,POINT (127.06403915022017 37.56930297784968)
