MGRNU,STAT_CDE,A004_KND_C,HOL,VEL,AW_SN_QUA,AW_SN_LENX,EVE_CDE,OD_PE_CDE,GU_CDE,DONG_CDE,JIBUN,NW_PE_CDE,WORK_CDE,VIEW_CDE,ROD_GBN_CD,TFC_BSS_CD,SIXID,ESB_YMD,CAE_YMD,HISID,CTK_MGRNU,CRS_MGRNU,FRM_CDE,CSS_CDE,RN_CDE,MNG_AGEN,geometry,length_m
06-0000033773,001,002,,,0.0,001,001,200,230,10400,,200,001,002,002,109,5313211,,,75642.0,2000-0000-000,06-033773,004,,,,"POLYGON ((205295.042405493 553333.269964347, 205302.47990549201 553335.207464349, 205303.04240549201 553331.144964347, 205296.229905493 553329.519964347, 205295.042405493 553333.269964347))",1m
06-0000033774,001,002,,,4.0,001,001,200,230,10400,산32-20임,200,001,002,002,109,5313212,,,75643.0,2000-0000-000,06-033774,004,,,,"POLYGON ((205285.382934871 553338.946649699, 205288.064556725 553340.710787565, 205292.814556726 553334.398287566, 205288.439556725 553333.7107875659, 205284.752056725 553338.148287566, 205285.382934871 553338.946649699))",1m
06-0000033775,001,002,0.0,0.0,0.0,001,001,200,230,10400,65-31대,200,001,002,002,109,,,,76054.0,2000-0000-000,06-033775,,,,,"POLYGON ((205398.17091091402 553522.970455623, 205398.17091091402 553522.970455623, 205399.319153204 553522.100566098, 205400.64135359402 553521.5786422851, 205400.67616006802 553515.2111371129, 205400.32821911102 553515.141548922, 205399.28434673 553514.828389683, 205398.797229391 553514.30646587, 205398.066516249 553513.854130249, 205397.33582786203 553512.845064341, 205397.022668624 553511.4880574769, 205396.883492241 553524.362244204, 205398.17091091402 553522.970455623))",1m
06-0000033776,001,002,0.0,0.0,0.0,001,001,200,230,10400,산32-20임,200,001,002,002,109,,,,74844.0,2000-0000-000,06-033776,,,,,"POLYGON ((205386.410160003 553515.872237308, 205397.057475097 553515.9766319729, 205397.301046145 553512.00998129, 205388.010737915 553511.9751995719, 205387.071284954 553514.132483014, 205387.071284954 553514.132483014, 205386.410160003 553515.872237308))",1m
06-0000033777,001,002,0.0,0.0,0.0,001,001,200,230,10400,산32-20임,200,001,002,002,109,,,,74845.0,2000-0000-000,06-033777,,,,,"POLYGON ((205383.174222463 553526.484745928, 205383.174222463 553526.484745928, 205384.009305514 553527.215459071, 205384.60081751802 553527.9461474571, 205386.375378286 553527.876559266, 205386.444966477 553515.9418254991, 205382.33913941102 553517.403227028, 205382.33913941102 553526.136804972, 205383.174222463 553526.484745928))",1m
06-0000033778,001,002,0.0,0.0,0.0,001,001,200,230,10400,65-34대,200,001,002,002,109,,,,74846.0,2000-0000-000,06-033778,,,,,"POLYGON ((205386.201395429 553527.9461474571, 205386.201395429 553527.9461474571, 205395.456897186 553527.841752792, 205396.11799738102 553526.345569546, 205386.375378286 553526.17158669, 205386.201395429 553527.9461474571))",1m
06-0000033779,001,002,0.0,0.0,0.0,001,001,200,230,10400,산32-20임,200,001,002,002,109,,,,74847.0,2000-0000-000,06-033779,,,,,"POLYGON ((205392.08799693602 553421.822596105, 205399.351261309 553420.0781382341, 205399.76356701 553419.856129376, 205399.351261309 553418.111671504, 205399.351261309 553416.8429928749, 205399.509846138 553415.923195917, 205391.168199978 553417.98479869, 205391.80256404902 553419.8244173611, 205391.80256404902 553419.8244173611, 205392.08799693602 553421.822596105))",1m
06-0000033780,001,002,0.0,0.0,0.0,001,001,200,230,10400,산32-20임,200,001,002,002,109,,,,74848.0,2000-0000-000,06-033780,,,,,"POLYGON ((205399.563466921 553415.349285195, 205399.563466921 553415.349285195, 205400.416671124 553414.0557271161, 205401.269850571 553413.009874281, 205402.15058308 553412.32181516, 205399.205697963 553404.945838217, 205398.380022067 553404.8082461971, 205396.646110111 553404.8357497479, 205396.370901316 553404.47798079, 205395.820434215 553404.3403640139, 205394.609461055 553403.789921669, 205399.370818289 553416.00981601, 205399.563466921 553415.349285195))",1m
06-0000033781,001,002,0.0,0.0,0.0,001,001,200,230,10400,산32-20임,200,001,002,002,109,,,,74849.0,2000-0000-000,06-033781,,,,,"POLYGON ((205387.83898306903 553409.40445835, 205394.939726462 553404.8632780539, 205394.609461055 553403.734865056, 205394.086547015 553403.404599649, 205393.343431282 553402.881685609, 205392.600340304 553401.780776162, 205385.85736586901 553406.07427597, 205387.040835479 553407.890723333, 205387.040835479 553407.890723333, 205387.83898306903 553409.40445835))",1m
06-0000033782,001,002,0.0,0.0,0.0,001,001,200,230,10400,53-31대,200,001,002,002,109,,,,74925.0,2000-0000-000,06-033782,,,,,"POLYGON ((205301.266544749 553354.026542092, 205301.266544749 553354.026542092, 205302.855586518 553353.908828876, 205304.268046085 553353.908828876, 205309.976753339 553344.02158715, 205306.327891205 553341.961742029, 205298.912453722 553355.380157429, 205301.266544749 553354.026542092))",1m
06-0000033783,001,002,0.0,0.0,0.0,001,001,200,230,10400,53-25도,200,001,002,002,109,,,,74926.0,2000-0000-000,06-033783,,,,,"POLYGON ((205292.854716262 553344.541976111, 205292.854716262 553344.541976111, 205293.054544039 553345.59112145, 205292.804759318 553346.640266789, 205291.905484811 553348.688600523, 205298.849821875 553355.732851474, 205300.948112552 553351.985907372, 205292.20525123202 553343.392892128, 205292.854716262 553344.541976111))",1m
06-0000033784,001,002,0.0,0.0,0.0,001,001,200,230,10400,55-2도,200,001,002,002,109,,,,74927.0,2000-0000-000,06-033784,,,,,"POLYGON ((205248.14112224302 553306.073272426, 205248.14112224302 553306.073272426, 205252.287746654 553301.4770107609, 205249.29018147 553298.779211998, 205245.193514003 553303.375473662, 205248.14112224302 553306.073272426))",1m
06-0000034350,001,001,0.0,0.0,0.0,001,001,200,230,10400,588-29철,200,001,002,002,109,,,,79139.0,2010-1006-001,06-034350,005,,,,"POLYGON ((204127.696950418 553405.465236951, 204132.796940477 553413.165240873, 204136.296946761 553410.6652399211, 204131.196956702 553402.865223088, 204131.196956702 553402.865223088, 204127.696950418 553405.465236951))",1m
06-0000034458,001,003,0.0,0.0,0.0,,001,200,230,11000,345-2천,200,001,002,002,109,5338206,,,75163.0,2000-0000-000,06-034458,005,3370,,,"POLYGON ((206290.312499999 555784.062499871, 206292.890625 555781.56249987, 206290.25 555779.18749987, 206287.67187500102 555781.8124998721, 206290.312499999 555784.062499871))",
06-0000034462,001,001,0.0,0.0,2.0,001,001,200,230,11000,345-2천,200,001,002,001,109,5338205,,,75229.0,2000-0000-000,06-034462,,3370,,,"POLYGON ((206270.126794901 555784.620528472, 206286.13268846102 555783.49511408, 206285.75755033 555777.9930881719, 206269.87670281 555779.118502561, 206270.126794901 555784.620528472))",1m
