NO,ATNRG_NM,SAFETY_ADDR,CCTV_USE,LA,LO,CCTV_QTY,UPDATE_DT,PLCST_NM,PLCST_DEPT_NM,PLCST_DEPT_CD,CTPR_PLAGC_NM
48739,동대문구,휘경로2길 41(이문동 317-10) 메인 (141028),방범,37.59433614,127.0601557,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48740,동대문구,휘경로2길 41(이문동 317-10) 보조1,방범,37.59433614,127.0601557,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48741,동대문구,휘경로2길 41(이문동 317-10) 보조2,방범,37.59433614,127.0601557,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48763,동대문구,휘경로 31길 7 메인 (231003),방범,37.59439713,127.0673314,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48764,동대문구,휘경로 31길 7 보조1,방범,37.59439713,127.0673314,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48765,동대문구,휘경로 31길 7 보조2,방범,37.59439713,127.0673314,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48767,동대문구,회기로25가길 28-16 메인 (141023-BP),방범,37.59441728,127.0577872,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48768,동대문구,회기로25가길 28-16 보조1,방범,37.59441728,127.0577872,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48769,동대문구,회기로25가길 28-16 보조2,방범,37.59441728,127.0577872,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48792,동대문구,이문로28길 44 메인 (141030),방범,37.59447273,127.0612158,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48793,동대문구,이문로28길 44 보조1,방범,37.59447273,127.0612158,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48794,동대문구,이문로28길 44 보조2,방범,37.59447273,127.0612158,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
